DayOfYear,Cumulative Return,Cum_Current_Year
183,1.0663976070475059,1.2023516994608217
184,1.0668622089614055,1.205729433696998
185,1.0710765035603091,1.2087572359429044
186,1.0733091167294118,1.2065074378307046
187,1.0704616022548117,1.2113801301223999
188,1.074357443890548,1.2098620079898552
189,1.074318487106634,1.2149876520026723
190,1.0759037437488814,1.2036589770167045
191,1.0728256783236805,1.2038255524683834
192,1.0745687436678517,1.2018014239421417
193,1.0771260989733322,1.2125818824384986
194,1.080240205906928,1.2009580456354954
195,1.0825916462141505,1.2125945454672726
196,1.0865158550523903,1.2212202300429624
197,1.0831407135800513,1.2186921541520928
198,1.0833760385769104,1.2260674933256561
199,1.0830372930110943,1.2355176131405576
200,1.0839201924248265,1.2261159834602302
201,1.082595407580206,1.2318531591065287
202,1.0820053656912894,1.2316423145298672
203,1.0810839366314937,1.2365338469375435
204,1.0800352463596234,1.2342799307672059
205,1.0803472647180936,1.2336938281427263
206,1.0806121747108983,1.2223545491570535
207,1.0813406801113679,1.224977443336549
208,1.0809069061659864,1.2246106273079136
209,1.083201805217478,1.2278576131982109
210,1.0839400073296825,1.2298395316285389
211,1.087708675318134,1.2257807735278037
212,1.0871349148489728,1.202963231094303
213,1.085257574183872,1.2078863695981878
214,1.0840738084866406,1.2044896922945771
215,1.083494808498514,1.2192635347187297
216,1.0804815912521741,1.2501059370455971
217,1.076409405177608,1.25939576144748
218,1.078643460594799,1.264127101393591
219,1.0803868171654027,1.265352120738169
220,1.0793151312564269,1.2616918877137313
221,1.0805659160780294,1.2619848875502444
222,1.0774427292400057,1.2543502136654454
223,1.0781129909788285,1.237788413349261
224,1.079487386081532,1.2426378386124768
225,1.0801382925814633,1.247563139096884
226,1.0802452878112798,1.247590524183501
227,1.0801950929311792,1.254253233396297
228,1.0801005641643315,1.2586029323044763
229,1.0802433663442845,1.2624045176744982
230,1.0811021366584967,1.2696280034542258
231,1.0800541347798127,1.2648018452194891
232,1.0796275844095604,1.2718945826533377
233,1.079650573747288,1.275008761168687
234,1.0796013367308115,1.2755843627449153
235,1.0795127790869203,1.2833034568215418
236,1.080210984569445,1.2809039672960285
237,1.0815236167545046,1.2841004040226829
238,1.0812791173906513,1.2762106164362397
239,1.0816117631938988,1.2724280770851057
240,1.0800085960590946,1.282818452524348
241,1.085112497775185,1.2758732445232905
242,1.0810135259580198,1.2758394764465595
243,1.077532422997838,1.2806868426807065
244,1.0794422861466826,1.2757382751678201
245,1.0809834031406504,1.238113122233436
246,1.0824455506588233,1.2370420153117627
247,1.0822337998819098,1.2504875780835287
248,1.0790348671283547,
249,1.0768586649404428,
250,1.077299744723879,
251,1.0828249272734718,
252,1.0805078882482115,
253,1.0787798780789237,
254,1.0823077773644936,
255,1.084008873790759,
256,1.0838511891823697,
257,1.0862230308704859,
258,1.0887984871600425,
259,1.0898042398160663,
